communityId,collect(gds.util.asNode(nodeId).id)
152,"[asian_development_bank, low_carbon_development_strategy, climate_resilient_development_path, renewable_energy_district_heating_cooling, wind_powered_district_heating, bus_rapid_transit, climate_action_projects, public_health_improvement, economic_benefits, environmental_benefits, adb_loan, zhuangyuangu_low_carbon_industrial_park, low_carbon_technologies, electricity_savings, renewable_solar_energy_generation, adb_technical_assistance_loan, reduced_air_pollutants, expanded_district_heating_access, reforestation_project, china_certified_emissions_reduction, local_economy_improvement, daxinganling_government, local_forestry_bureau, health_benefits, reduced_emissions, yangtze_river_beach_park, prc_13th_five_year_plan, reduced_flood_risk, social_perks, land_value_increase, temperature_reduction, cycan, low_carbon_campus_project, international_summits, environmental_change, social_engagement, cleaner_greener_environment, harmonious_neighborhood, low_carbon_communities, nox_reduction, electric_vehicle_fleet, public_support, electric_bus_program, solar_power_project, local_bus_company, brt_project, social_benefits, beijing_municipal_government]"
1,[innovative_technology_near_zero_energy_building]
123,"[saplings_sequester_carbon, carbon_sequestration, passive_building_project, decarbonization_mechanism, co2_emission_reduction, improved_air_quality, improved_health, solar_pv_plus_project, poverty_alleviation_outcome, reduced_energy_costs, rooftop_solar_energy_program, reduced_carbon_emissions, jiangbeizui_cbd_project, ice_storage_technology, reduced_power_requirements, reduced_water_demand, economic_value_creation, solar_pv_installation, industrial_park, water_saving, electricity_saving, wind_energy_heating_initiative, wind_resources, beijing_government, afforestation_project_fangshan, new_revenue_streams, tourism_increase, carbon_market_subsidies, afforestation_program, government_subsidy, soil_erosion_reduction, co2_sequestration, ammonia_emission_reduction, integrated_ecological_engineering, green_infrastructure, biodiversity_increase, reduced_urban_heat, xining_greenway, changzhou_yongan_hang_cycling_ltd, tourism_benefits, improved_public_health, kitchen_waste_treatment_facility, pollution_reduction_scheme, market_based_scheme, financial_incentive, co2_reduction, ant_financial, ant_forest, carbon_storage, digital_platform, behavior_change_and_tree_planting, increased_active_mobility, geothermal_heat_pump_solar_energy_system, electric_taxi_overhaul, national_regulations, hc_reduction, climate_resiliency]"
429,"[electric_taxis_program, emission_reduction, national_development_and_reform_commission, low_carbon_city_initiative, environmental_improvement, economic_prosperity, improvement_of_peoples_lives, economic_benefit, pv_system_installation, job_creation, co2_emissions_reduction, energy_retrofit_program, air_quality_improvement, public_awareness_increase, biogas_project, electricity_production, sponge_infrastructure, economic_benefits_2021, flood_protection, health_benefit, social_benefit, waste_treatment_plant_project, public_private_partnership, clean_safe_city, kitchen_waste_recycling_project, health_safety, industrial_waste_recycling_project, reduced_cement_use, reduced_pollution, sludge_management_program, co2_abatement, emissions_trading_scheme_shanghai, economic_co_benefit, environmental_co_benefit, health_co_benefit, adb, vertical_farming, social_co_benefit, wuyi_mountain_ecotourism_scheme, ecotourism_mechanism, tourism_industry_growth, reduced_waste_generation, hydrogen_fuel_cell_subsidy_scheme, hydrogen_fuel_cell_bus_fleet, foshan_bus_company, reduced_electricity_costs, improved_resilience_and_water_security, low_carbon_city_development]"
390,"[shared_bus_service, pick_me_technology, beijing_city_government, private_bus_operators, improved_commuter_service, access_to_bus_stations_and_lanes, greenhouse_gas_emissions_reduction, economic_time_saved, hc_emissions_reduction, nox_emissions_reduction]"
8,"[cycling_scheme, carbon_reductions]"
12,"[low_carbon_development, sustainable_development_dialogue, environmental_improvement_measures, green_job_opportunities, hongqiao_tiandi, energy_efficiency, water_harvesting]"
15,[ecological_civilization_vision]
16,[prc]
418,"[emissions_trading_scheme, panda_green_energy, united_nations_development_programme, panda_power_plant, solar_energy_generation, renewable_energy_promotion, youth_engagement, low_carbon_technology_innovation, solar_technology_mechanism, solar_power_generation, so2_emission_reduction, nox_emission_reduction, heat_pump_technology, jiangbeizui_cbd_smart_system, carbon_emission_reduction, reduced_particulate_emissions, carbon_market_mechanism, emissions_reduction, low_carbon_industry_promotion, pollution_control_strategy, economic_growth, reduced_energy_intensity, sustainable_jobs_creation, electric_tram_supercapacitors, supercapacitor_technology, reduced_infrastructure_costs, hydrocarbon_emission_reduction, bike_sharing_project, carbon_credit_scheme, increased_connectivity, hydrogen_bus_fleet, local_economic_stimulation, passenger_comfort, government_departments, collaboration_innovation, zero_emission_hydrogen_bus_fleet, solar_power, zero_emission]"
